date,next_date,number,freq_7days,freq_prev_day,is_cau_ngang,is_cau_cheo,label
1-9-2025,2-9-2025,00,2,0,0,1,0.0
1-9-2025,2-9-2025,01,0,0,0,1,0.0
1-9-2025,2-9-2025,02,2,0,1,1,1.0
1-9-2025,2-9-2025,03,3,0,1,1,0.0
1-9-2025,2-9-2025,04,1,0,0,1,0.0
1-9-2025,2-9-2025,05,3,0,0,1,1.0
1-9-2025,2-9-2025,06,2,0,0,1,0.0
1-9-2025,2-9-2025,07,2,0,0,1,0.0
1-9-2025,2-9-2025,08,3,1,0,1,1.0
1-9-2025,2-9-2025,09,3,1,0,1,0.0
1-9-2025,2-9-2025,10,2,0,0,1,0.0
1-9-2025,2-9-2025,11,0,0,1,1,0.0
1-9-2025,2-9-2025,12,2,0,0,1,0.0
1-9-2025,2-9-2025,13,0,0,0,1,0.0
1-9-2025,2-9-2025,14,0,0,1,1,1.0
1-9-2025,2-9-2025,15,1,0,0,1,1.0
1-9-2025,2-9-2025,16,2,1,1,1,0.0
1-9-2025,2-9-2025,17,2,1,0,1,0.0
1-9-2025,2-9-2025,18,1,0,0,1,0.0
1-9-2025,2-9-2025,19,1,0,0,1,0.0
1-9-2025,2-9-2025,20,3,0,0,1,0.0
1-9-2025,2-9-2025,21,2,0,1,1,0.0
1-9-2025,2-9-2025,22,2,0,0,1,0.0
1-9-2025,2-9-2025,23,1,1,0,1,1.0
1-9-2025,2-9-2025,24,1,0,0,1,0.0
1-9-2025,2-9-2025,25,1,0,0,1,1.0
1-9-2025,2-9-2025,26,2,1,0,1,1.0
1-9-2025,2-9-2025,27,4,0,0,1,0.0
1-9-2025,2-9-2025,28,3,1,0,1,0.0
1-9-2025,2-9-2025,29,1,0,0,1,1.0
1-9-2025,2-9-2025,30,2,0,0,1,1.0
1-9-2025,2-9-2025,31,1,0,0,1,0.0
1-9-2025,2-9-2025,32,1,0,0,1,0.0
1-9-2025,2-9-2025,33,0,0,1,1,0.0
1-9-2025,2-9-2025,34,3,1,0,1,0.0
1-9-2025,2-9-2025,35,0,0,0,1,0.0
1-9-2025,2-9-2025,36,2,0,0,1,0.0
1-9-2025,2-9-2025,37,2,1,0,1,0.0
1-9-2025,2-9-2025,38,0,0,0,1,0.0
1-9-2025,2-9-2025,39,2,1,1,1,0.0
1-9-2025,2-9-2025,40,1,0,1,1,0.0
1-9-2025,2-9-2025,41,0,0,0,1,0.0
1-9-2025,2-9-2025,42,5,1,1,1,0.0
1-9-2025,2-9-2025,43,3,1,1,1,0.0
1-9-2025,2-9-2025,44,2,0,1,1,1.0
1-9-2025,2-9-2025,45,2,1,0,1,0.0
1-9-2025,2-9-2025,46,2,0,0,1,0.0
1-9-2025,2-9-2025,47,1,0,0,1,0.0
1-9-2025,2-9-2025,48,1,0,0,1,0.0
1-9-2025,2-9-2025,49,3,0,0,1,0.0
1-9-2025,2-9-2025,50,1,0,0,1,0.0
1-9-2025,2-9-2025,51,3,1,0,1,0.0
1-9-2025,2-9-2025,52,1,0,0,1,0.0
1-9-2025,2-9-2025,53,1,0,0,1,0.0
1-9-2025,2-9-2025,54,1,1,0,1,0.0
1-9-2025,2-9-2025,55,1,1,1,1,0.0
1-9-2025,2-9-2025,56,2,0,0,1,0.0
1-9-2025,2-9-2025,57,3,0,0,1,1.0
